sample,kind,m_rank1,m_rank2,m_rank3,m_rank4,m_rank5,m_rank6,workerId,hitId,assignmentId,trialIdx
45_1a6d42ef69294498937aab039ececb00,main,spotex,TEXGen,mvadapter,goatex,syncmvd,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,10
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,TEXGen,goatex,syncmvd,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,11
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,12
58_1d7b005b0cf241d9890739a549769c86,main,spotex,mvadapter,goatex,TEXGen,syncmvd,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,13
54_120ac5f53bda4d1d9306a050a3b6e46b,main,spotex,TEXGen,syncmvd,mvadapter,goatex,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,14
48_d53b232eab0048b48835c2caef28f44e,main,goatex,mvadapter,spotex,TEXGen,syncmvd,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,15
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,TEXGen,syncmvd,paint3d,goatex,spotex,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,16
06_ce195c7adddb44d2bf963c526756362a,main,spotex,syncmvd,TEXGen,mvadapter,paint3d,goatex,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,17
27_0aa910f8ec974330a9a89a5c7cf4e3dd,main,spotex,mvadapter,paint3d,goatex,syncmvd,TEXGen,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,18
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,goatex,TEXGen,syncmvd,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,19
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_0,_corrupt_2,_corrupt_4,_corrupt_1,_corrupt_3,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,20
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,goatex,syncmvd,TEXGen,mvadapter,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,21
54_120ac5f53bda4d1d9306a050a3b6e46b,main,syncmvd,TEXGen,spotex,goatex,paint3d,mvadapter,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,22
35_02797d5feaac4ccabfdf8b357fa2a13a,main,spotex,mvadapter,TEXGen,syncmvd,goatex,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,23
48_d53b232eab0048b48835c2caef28f44e,main,goatex,TEXGen,syncmvd,spotex,mvadapter,paint3d,A24SNSQNVMG2MV,H_0001,39KFRKBFI5R6AJ7H8TBVPLKA9OVYO2,24
01_d85c3093011d4e03a0df7a4049b13816,main,mvadapter,spotex,goatex,TEXGen,paint3d,syncmvd,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,0
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_4,_corrupt_3,_corrupt_2,_corrupt_1,_corrupt_0,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,1
06_ce195c7adddb44d2bf963c526756362a,main,spotex,paint3d,goatex,syncmvd,mvadapter,TEXGen,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,2
54_120ac5f53bda4d1d9306a050a3b6e46b,vigilance,spotex,_corrupt_3,_corrupt_2,_corrupt_0,_corrupt_4,_corrupt_1,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,3
45_1a6d42ef69294498937aab039ececb00,main,spotex,TEXGen,goatex,syncmvd,mvadapter,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,4
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,goatex,TEXGen,syncmvd,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,5
58_1d7b005b0cf241d9890739a549769c86,main,spotex,TEXGen,syncmvd,goatex,paint3d,mvadapter,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,6
27_0aa910f8ec974330a9a89a5c7cf4e3dd,vigilance,spotex,_corrupt_1,_corrupt_4,_corrupt_2,_corrupt_3,_corrupt_0,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,7
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,paint3d,goatex,syncmvd,TEXGen,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,8
45_1a6d42ef69294498937aab039ececb00,main,spotex,TEXGen,mvadapter,goatex,syncmvd,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,9
58_1d7b005b0cf241d9890739a549769c86,vigilance,spotex,_corrupt_1,_corrupt_2,_corrupt_3,_corrupt_0,_corrupt_4,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,10
02_16ee83e509e745998f229da44a8387e8,main,mvadapter,spotex,TEXGen,goatex,syncmvd,paint3d,A1T3ZQLAB6VTMD,H_0001,3EJPLAJKE4CGQ3BI4JRKMS7LUI66ZD,11
